# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p900
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:09:05.264969
# Alpha: 0.9
# Length cost: 0.7540323596824643
# Obstacle cost: 9.140330603462637
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
0.0000,0.000000,-0.500000,0.000000,2.500000,0.000000,1.000000,-1.570000
0.1000,-0.000427,-0.498988,0.011364,2.504462,0.004931,1.007397,-1.569992
0.2000,-0.000854,-0.497977,0.022728,2.508923,0.009861,1.014794,-1.569984
0.3000,-0.001281,-0.496965,0.034092,2.513385,0.014792,1.022190,-1.569976
0.4000,-0.001708,-0.495953,0.045456,2.517847,0.019722,1.029587,-1.569968
0.5000,-0.002134,-0.494942,0.056820,2.522308,0.024653,1.036984,-1.569960
0.6000,-0.002745,-0.494055,0.068077,2.525858,0.029324,1.043381,-1.569952
0.7000,-0.003356,-0.493168,0.079334,2.529408,0.033995,1.049778,-1.569945
0.8000,-0.003967,-0.492281,0.090591,2.532957,0.038666,1.056174,-1.569937
0.9000,-0.004578,-0.491394,0.101848,2.536507,0.043336,1.062571,-1.569929
1.0000,-0.005189,-0.490507,0.113105,2.540057,0.048007,1.068968,-1.569922
1.1000,-0.006005,-0.489766,0.124240,2.542725,0.052349,1.074367,-1.569915
1.2000,-0.006820,-0.489026,0.135374,2.545393,0.056691,1.079766,-1.569907
1.3000,-0.007636,-0.488286,0.146508,2.548060,0.061033,1.085165,-1.569900
1.4000,-0.008451,-0.487545,0.157643,2.550728,0.065374,1.090564,-1.569893
1.5000,-0.009267,-0.486805,0.168777,2.553396,0.069716,1.095963,-1.569886
1.6000,-0.010308,-0.486232,0.179770,2.555229,0.073646,1.100365,-1.569878
1.7000,-0.011348,-0.485660,0.190763,2.557063,0.077576,1.104766,-1.569870
1.8000,-0.012389,-0.485088,0.201756,2.558896,0.081505,1.109168,-1.569861
1.9000,-0.013429,-0.484516,0.212749,2.560729,0.085435,1.113569,-1.569853
2.0000,-0.014470,-0.483943,0.223743,2.562562,0.089365,1.117971,-1.569844
2.1000,-0.015757,-0.483565,0.234573,2.563630,0.092782,1.121379,-1.569836
2.2000,-0.017044,-0.483187,0.245404,2.564698,0.096200,1.124787,-1.569828
2.3000,-0.018331,-0.482808,0.256234,2.565766,0.099617,1.128195,-1.569820
2.4000,-0.019617,-0.482430,0.267065,2.566834,0.103034,1.131603,-1.569812
2.5000,-0.020904,-0.482052,0.277895,2.567902,0.106451,1.135011,-1.569804
2.6000,-0.022462,-0.481898,0.288532,2.568322,0.109231,1.137433,-1.569797
2.7000,-0.024021,-0.481744,0.299169,2.568741,0.112011,1.139855,-1.569789
2.8000,-0.025579,-0.481590,0.309806,2.569161,0.114791,1.142278,-1.569782
2.9000,-0.027137,-0.481436,0.320443,2.569580,0.117571,1.144700,-1.569775
3.0000,-0.028695,-0.481282,0.331080,2.570000,0.120351,1.147122,-1.569768
3.1000,-0.030546,-0.481397,0.341465,2.570000,0.122343,1.148574,-1.569760
3.2000,-0.032397,-0.481511,0.351850,2.570000,0.124336,1.150025,-1.569753
3.3000,-0.034249,-0.481626,0.362235,2.570000,0.126328,1.151476,-1.569746
3.4000,-0.036100,-0.481741,0.372621,2.570000,0.128321,1.152928,-1.569739
3.5000,-0.037951,-0.481856,0.383006,2.570000,0.130313,1.154379,-1.569732
3.6000,-0.040080,-0.482263,0.393057,2.569576,0.131368,1.155040,-1.569725
3.7000,-0.042209,-0.482671,0.403107,2.569152,0.132422,1.155700,-1.569718
3.8000,-0.044338,-0.483078,0.413158,2.568728,0.133476,1.156361,-1.569711
3.9000,-0.046468,-0.483486,0.423209,2.568304,0.134531,1.157022,-1.569704
4.0000,-0.048597,-0.483894,0.433259,2.567880,0.135585,1.157683,-1.569697
4.1000,-0.050880,-0.484660,0.442544,2.567073,0.135642,1.158064,-1.569692
4.2000,-0.053162,-0.485426,0.451828,2.566266,0.135698,1.158445,-1.569687
4.3000,-0.055445,-0.486193,0.461113,2.565459,0.135754,1.158826,-1.569681
4.4000,-0.057728,-0.486959,0.470398,2.564652,0.135811,1.159207,-1.569676
4.5000,-0.060011,-0.487726,0.479682,2.563845,0.135867,1.159588,-1.569670
4.6000,-0.062224,-0.488825,0.487620,2.563194,0.136003,1.159987,-1.569681
4.7000,-0.064437,-0.489925,0.495559,2.562544,0.136139,1.160386,-1.569692
4.8000,-0.066650,-0.491024,0.503497,2.561893,0.136275,1.160786,-1.569702
4.9000,-0.068863,-0.492124,0.511435,2.561242,0.136412,1.161185,-1.569713
5.0000,-0.071077,-0.493223,0.519373,2.560592,0.136548,1.161585,-1.569724
5.1000,-0.073089,-0.494526,0.525949,2.560082,0.136743,1.161978,-1.569756
5.2000,-0.075101,-0.495828,0.532526,2.559573,0.136939,1.162372,-1.569788
5.3000,-0.077114,-0.497131,0.539102,2.559063,0.137135,1.162765,-1.569820
5.4000,-0.079126,-0.498433,0.545678,2.558553,0.137331,1.163159,-1.569852
5.5000,-0.081138,-0.499736,0.552255,2.558044,0.137527,1.163552,-1.569883
5.6000,-0.082884,-0.501421,0.557523,2.557692,0.137811,1.163945,-1.569920
5.7000,-0.084629,-0.503105,0.562792,2.557341,0.138095,1.164337,-1.569957
5.8000,-0.086374,-0.504790,0.568060,2.556989,0.138379,1.164729,-1.569994
5.9000,-0.088120,-0.506474,0.573329,2.556638,0.138664,1.165122,-1.570031
6.0000,-0.089865,-0.508159,0.578598,2.556286,0.138948,1.165514,-1.570068
6.1000,-0.091413,-0.509910,0.582489,2.556066,0.139296,1.165896,-1.570119
6.2000,-0.092960,-0.511661,0.586381,2.555845,0.139643,1.166279,-1.570170
6.3000,-0.094508,-0.513412,0.590273,2.555624,0.139991,1.166662,-1.570222
6.4000,-0.096056,-0.515163,0.594165,2.555404,0.140339,1.167044,-1.570273
6.5000,-0.097604,-0.516914,0.598057,2.555183,0.140687,1.167427,-1.570325
6.6000,-0.098945,-0.518709,0.600573,2.555096,0.141094,1.167796,-1.570374
6.7000,-0.100285,-0.520505,0.603089,2.555010,0.141502,1.168165,-1.570424
6.8000,-0.101626,-0.522300,0.605604,2.554923,0.141910,1.168533,-1.570473
6.9000,-0.102966,-0.524096,0.608120,2.554836,0.142317,1.168902,-1.570523
7.0000,-0.104307,-0.525892,0.610636,2.554749,0.142725,1.169271,-1.570573
7.1000,-0.105523,-0.527831,0.611776,2.554811,0.143223,1.169649,-1.570608
7.2000,-0.106738,-0.529771,0.612916,2.554872,0.143721,1.170026,-1.570644
7.3000,-0.107954,-0.531710,0.614056,2.554934,0.144219,1.170403,-1.570679
7.4000,-0.109170,-0.533650,0.615196,2.554995,0.144717,1.170781,-1.570715
7.5000,-0.110385,-0.535590,0.616336,2.555057,0.145216,1.171158,-1.570751
7.6000,-0.111723,-0.538672,0.616756,2.555294,0.145976,1.171684,-1.570768
7.7000,-0.113062,-0.541754,0.617177,2.555531,0.146737,1.172211,-1.570786
7.8000,-0.114400,-0.544837,0.617597,2.555767,0.147498,1.172737,-1.570804
7.9000,-0.115738,-0.547919,0.618018,2.556004,0.148258,1.173263,-1.570822
8.0000,-0.117076,-0.551002,0.618439,2.556241,0.149019,1.173790,-1.570840
8.1000,-0.118332,-0.554287,0.617488,2.556632,0.149864,1.174356,-1.570834
8.2000,-0.119588,-0.557572,0.616538,2.557023,0.150710,1.174922,-1.570828
8.3000,-0.120843,-0.560857,0.615588,2.557414,0.151555,1.175488,-1.570823
8.4000,-0.122099,-0.564142,0.614638,2.557804,0.152401,1.176054,-1.570817
8.5000,-0.123355,-0.567428,0.613688,2.558195,0.153246,1.176621,-1.570812
8.6000,-0.124266,-0.569945,0.611637,2.558635,0.153932,1.177069,-1.570796
8.7000,-0.125177,-0.572463,0.609587,2.559075,0.154619,1.177517,-1.570781
8.8000,-0.126088,-0.574980,0.607537,2.559516,0.155305,1.177965,-1.570765
8.9000,-0.126999,-0.577498,0.605486,2.559956,0.155991,1.178414,-1.570749
9.0000,-0.127910,-0.580015,0.603436,2.560396,0.156677,1.178862,-1.570734
